country,SFTGcode,COW,risk_in_2019,risk_in_2019_20,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,durable.ln,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr,polity2.fl.2,polity2.fl.3
Turkey,TUR,640,0.02462,0.03932,0,1,0,0,1,0,0,4.564348191,18.21908967,3.016620626,0.01447414,1,1,1.098612289,1,0.32,6.787844982,1,4,0,2,0,1,0,0.143,1,0,0,1,1.108,-2.261426918,1,1,0
Uganda,UGA,500,0.02407,0.05193,0,1,1,0,0,0,0,4.043051268,17.56603711,5.813776741,0.043512992,1,1,2.63905733,0,0.93,5.814130532,1,4,1,4,0,1,0,0.371,0,0,0,1,1.548,-2.520162148,0,1,0
Burundi,BUI,516,0.02377,0.05431,0,1,1,0,0,0,0,4.043051268,16.24138681,6.403124237,0.006507593,0,1,1.386294361,0,0.3,0,1,3,0,4,1,0,0,0.067,0,1,0,1,-0.681,-2.768854633,1,1,0
Haiti,HAI,41,0.02344,0.03769,0,1,0,0,0,0,0,5.370638028,16.23680794,7.03562364,0.005550816,0,1,0.693147181,1,0.1,0,1,4,0,3,0,0,0,0.46,0,0,0,1,-0.633,-2.01432545,0,1,0
Syria,SYR,652,0.02331,0.05356,1,1,0,0,0,1,0,4.290459441,16.64787424,3.741657387,-0.137931034,0,1,4.025351691,1,0.54,9.350015354,1,2,0,2,1,0,0,0.108,1,0,0,1,-1.662,-1.227277492,0,0,0
Burma/Myanmar,MYA,775,0.0228,0.03858,1,1,0,1,0,0,0,4.262679877,17.79366867,6.066300355,0.044418779,0,1,1.098612289,0,0.51,4.574710979,1,4,1,2,0,0,0,0.639,1,0,0,1,-0.049,-2.743628512,0,0,1
Rwanda,RWA,517,0.02278,0.03877,0,1,1,0,0,0,0,4.043051268,16.33541419,5.196152423,0.06478856,0,1,3.218875825,1,0.32,3.258096538,1,2,1,3,0,0,0,0.309,0,0,0,1,-0.472,-2.437344217,0,1,0
Venezuela,VEN,101,0.02255,0.02963,0,0,0,0,0,0,0,5.241747015,17.17690893,4.626013402,-0.132867133,1,1,0.693147181,1,0.5,0,1,3,1,3,0,0,0,0.364,0,0,0,1,0.764,-1.513621168,0,1,0
Chad,CHA,483,0.02197,0.03874,0,1,1,0,0,0,0,4.077537444,16.56094376,8.44985207,0.015089833,1,1,3.295836866,1,0.86,5.017279837,0,4,0,3,0,1,0,0.415,0,0,0,1,-1.137,-2.041937469,0,1,0
Iraq,IRQ,645,0.02173,0.04636,1,1,0,0,0,1,0,4.465908119,17.46088113,4.74341649,-0.001466164,0,1,1.609437912,0,0.37,6.723832441,1,3,1,2,0,0,0,0.389,0,0,0,1,0.008,-1.934439169,0,0,1
Mali,MLI,432,0.02134,0.03256,0,0,1,0,0,0,0,4.077537444,16.7670396,7.874007874,0.033704465,1,1,1.791759469,0,0.69,6.249975242,1,4,1,3,0,1,1,0.519,0,0,0,0,0.708,-2.243040313,0,1,0
Mozambique,MZM,541,0.02011,0.04599,0,1,1,0,0,0,0,3.784189634,17.19816941,7.348469228,0.020228659,0,1,3.218875825,0,0.69,3.970291914,1,4,1,4,0,1,1,0.649,0,0,0,0,1.123,-1.528751008,0,1,0
Thailand,THI,800,0.01912,0.02443,1,1,0,1,0,0,0,6.50578406,18.04934181,2.792848009,0.027352222,0,1,1.609437912,1,0.63,3.610917913,1,3,1,3,0,1,0,0.253,0,0,0,1,0.259,-1.473315107,1,1,0
Central African Republic,CEN,482,0.01849,0.02523,1,1,1,0,0,0,0,4.077537444,15.39828021,9.192388155,0.029094327,1,1,1.098612289,0,0.83,3.871201011,1,4,1,3,0,0,0,0.555,0,0,0,1,0.561,-2.6090107,0,0,1
Tanzania,TAZ,510,0.01827,0.04247,0,1,1,0,0,0,0,4.060443011,17.84090382,6.131883887,0.036176929,0,1,1.386294361,0,0.74,0,1,4,1,3,0,1,1,0.676,0,0,0,0,0.662,-2.657567928,0,1,0
China,CHN,710,0.01823,0.0337,0,1,0,1,0,0,0,7.714231145,21.04463162,2.720294102,0.047714929,0,1,4.248495242,1,0.15,0,1,0,1,0,0,0,0,0.295,0,0,0,1,-0.263,-2.766105795,0,0,0
Kenya,KEN,501,0.01812,0.04142,0,0,1,0,0,0,0,4.025351691,17.74981137,5.531726674,0.045405527,0,1,2.833213344,0,0.86,4.248495242,1,4,1,3,0,0,0,0.847,0,0,0,1,0.439,-2.827400901,0,0,1
Niger,NIR,436,0.01737,0.02708,0,0,1,0,0,0,0,4.077537444,16.92754454,6.92820323,0.035951924,1,1,2.079441542,0,0.65,4.317488114,1,4,2,4,0,1,1,0.849,0,0,0,0,0.848,-2.487989764,0,1,0
Ivory Coast,IVO,437,0.01721,0.03425,0,1,1,0,0,0,0,4.077537444,17.03704821,7.707139547,0.05458063,1,1,2.079441542,0,0.82,0,1,4,1,4,0,1,1,0.835,0,0,0,0,0.427,-2.286551159,0,1,0
Algeria,ALG,615,0.01711,0.03999,0,1,0,0,0,1,0,4.043051268,17.55445863,4.483302354,0.0106285,1,1,2.708050201,0,0.34,3.526360525,1,3,1,1,0,1,0,0.69,0,0,0,1,0.609,-2.277158934,0,1,0
Russia,RUS,365,0.01606,0.02742,0,1,0,0,1,0,0,3.33220451,18.78029594,2.469817807,0.011904603,1,1,2.944438979,0,0.25,3.36729583,1,3,1,3,0,1,1,0.595,0,0,0,0,-0.654,-2.437294115,0,1,0
Guinea,GUI,438,0.01517,0.02516,0,1,1,0,0,0,0,4.110873864,16.3443265,8.056053624,0.064687271,1,1,1.791759469,1,0.74,0,1,4,1,4,0,1,1,0.471,0,0,0,1,-0.228,-1.397660406,0,1,0
Ukraine,UKR,369,0.01503,0.02386,0,0,0,0,1,0,0,3.33220451,17.60928601,2.738612788,0.020810697,1,1,3.33220451,0,0.47,5.459585514,1,3,1,3,0,1,1,0.655,0,0,0,1,-1.926,-1.715574406,1,1,0
Bangladesh,BNG,771,0.01439,0.03134,0,1,0,0,0,0,1,3.871201011,18.8906,5.00999002,0.058129696,0,1,0,0,0.05,0,1,3,1,3,0,1,0,0.527,0,0,0,1,-2.15,-2.76614221,0,0,0
Uzbekistan,UZB,704,0.014,0.02209,0,0,0,0,0,0,1,3.33220451,17.30818374,4.370354677,0.035624641,1,1,3.33220451,1,0.41,0,1,2,1,2,0,0,0,0.366,0,0,0,1,-0.593,-2.133100542,0,0,0
Zimbabwe,ZIM,552,0.01345,0.02507,0,1,1,0,0,0,0,3.663561646,16.49262332,5.822370651,0.044082023,0,1,1.791759469,1,0.39,0,1,4,1,4,0,1,1,0.27,0,0,0,1,-0.409,-2.50524412,1,1,0
Djibouti,DJI,522,0.01312,0.01791,0,0,1,0,0,0,0,3.737669618,13.99628875,7.056911506,0.04240224,1,1,2.995732274,0,0.8,0,1,3,1,2,0,0,0,0.555,0,0,0,1,0.055,-1.532148458,0,1,0
Indonesia,INS,850,0.01296,0.03254,0,1,0,1,0,0,0,4.248495242,19.39609905,4.593473631,0.035940155,0,1,2.995732274,0,0.74,3.258096538,0,4,2,3,0,1,0,0.826,0,0,0,0,0.117,-2.636166903,0,0,1
Tajikistan,TAJ,702,0.01229,0.01685,0,0,0,0,0,0,1,3.33220451,16.04104221,5.513619501,0.053483932,1,1,3.044522438,0,0.51,0,1,2,1,1,0,1,1,0.204,0,0,0,1,-2.411,-2.346200429,0,1,0
Laos,LAO,812,0.0122,0.02227,0,1,0,1,0,0,0,4.248495242,15.79506658,6.131883887,0.046897943,0,1,3.784189634,1,0.51,0,1,0,2,2,1,0,0,0.071,0,0,0,1,-0.203,-2.032772781,0,0,0
North Korea,PRK,731,0.01218,0.01772,1,1,0,1,0,0,0,4.262679877,17.04907793,4.69041576,-0.016580903,0,1,4.262679877,1,0.04,0,1,0,1,1,1,0,0,0.011,1,0,1,1,-1.192,-1.424144585,0,0,0
Turkmenistan,TKM,701,0.01133,0.01723,0,0,0,0,0,0,1,3.33220451,15.61409191,6.268971207,0.044418357,1,1,3.33220451,1,0.39,0,1,0,1,1,0,0,0,0.114,0,0,1,1,-2.122,-2.858912743,0,0,0
Kazakhstan,KZK,705,0.01131,0.02174,0,0,0,0,0,0,1,3.33220451,16.72470597,2.966479395,0.027111357,1,1,3.33220451,0,0.62,0,0,3,1,2,0,0,0,0.496,0,0,0,1,-1.476,-2.278139127,0,0,0
Cambodia,CAM,811,0.01121,0.01467,0,1,0,1,0,0,0,4.189654742,16.60886109,4.898979486,0.055300706,0,1,0.693147181,1,0.21,0,1,3,0,3,0,1,1,0.413,0,0,0,1,-1.235,-1.459150594,0,1,0
Morocco,MOR,600,0.01089,0.02728,0,0,0,0,0,1,0,4.143134726,17.3967106,4.38178046,0.017634225,0,1,3.988984047,0,0.48,0,1,4,2,1,0,1,0,0.769,0,0,0,0,-0.308,-1.857369882,0,1,0
Burkina Faso,BFO,439,0.0105,0.01524,0,0,1,0,0,0,0,4.077537444,16.80130745,7,0.046971577,1,1,1.386294361,0,0.74,3.784189634,1,4,1,3,0,1,0,0.898,0,0,0,0,1.146,-2.204909791,1,0,1
Philippines,PHI,840,0.01048,0.0106,1,1,0,1,0,0,0,4.795790546,18.47735462,4.74341649,0.044778819,1,1,3.465735903,1,0.24,6.042632834,1,4,1,3,0,1,1,0.738,0,0,0,1,-0.596,-2.006904812,0,0,1
Iran,IRN,630,0.01012,0.02505,0,1,0,0,0,1,0,6.249975242,18.21277879,3.521363372,0.028759767,0,1,2.708050201,1,0.67,4.276666119,0,2,1,1,0,1,0,0.494,0,0,0,1,0.146,-2.566796251,0,0,0
Togo,TOG,461,0.009729,0.01393,0,0,1,0,0,0,0,4.077537444,15.90227701,6.884765791,0.033573713,1,1,3.258096538,0,0.71,0,0,4,2,4,0,1,1,0.425,0,0,0,0,-0.356,-2.033204353,0,1,0
Mauritania,MAA,435,0.00944,0.01115,0,0,1,0,0,0,0,4.077537444,15.34330479,7.176350047,0.022990643,0,1,2.302585093,1,0.62,0,1,3,1,1,0,1,0,0.706,0,0,0,1,-1.101,-1.452506825,0,1,0
Nepal,NEP,790,0.009332,0.01711,0,1,0,0,0,0,1,5.525452939,17.14967742,5.167204273,0.045158126,1,1,2.564949357,0,0.66,0,1,4,2,3,0,1,0,0.804,0,0,0,0,0.937,-2.378629332,0,0,1
Jordan,JOR,663,0.009282,0.02206,0,1,0,0,0,1,0,4.290459441,16.12854095,3.728270376,0.009312279,0,1,3.401197382,1,0.59,0,1,4,1,2,0,1,0,0.706,0,0,0,1,0.553,-1.826654352,0,1,0
Cuba,CUB,40,0.009042,0.01217,0,1,0,0,0,0,0,5.017279837,16.25553009,1.923538406,-0.009,0,1,4.060443011,0,0.59,0,1,0,1,2,0,0,0,0.23,0,1,0,0,1.144,-2.970998115,0,1,0
Nicaragua,NIC,93,0.008444,0.01399,0,1,0,0,0,0,0,5.198497031,15.710054,3.962322551,-0.038125404,1,1,1.098612289,1,0.48,0,1,4,0,2,0,0,0,0.108,0,0,1,1,-0.951,-1.781800297,0,0,1
Azerbaijan,AZE,373,0.008161,0.01656,0,1,0,0,1,0,0,3.33220451,16.12720014,4.38178046,0.004965596,1,1,3.17805383,1,0.2,0,1,4,1,2,0,0,0,0.264,0,0,1,1,-1.65,-1.796631035,0,0,0
Eritrea,ERI,531,0.007975,0.009595,0,0,1,0,0,0,0,3.258096538,15.60236569,5.594640292,0,0,1,3.258096538,1,0.65,0,1,0,1,1,0,0,0,0.065,0,0,0,1,0.792,-1.233041369,0,0,0
Saudi Arabia,SAU,670,0.007647,0.01324,0,0,0,0,0,1,0,4.465908119,17.33035762,2.449489743,0.011576006,0,1,4.532599493,1,0.18,0,1,0,1,0,0,0,0,0.2,1,0,0,1,-1.361,-2.155197306,0,0,0
Colombia,COL,100,0.007573,0.01133,0,1,0,0,0,0,0,5.298317367,17.71545209,3.492849839,0.015228214,1,1,4.127134385,1,0.6,4.96284463,1,4,1,4,0,1,1,0.649,0,0,0,1,-0.797,-2.809083876,0,0,1
South Africa,SAF,560,0.007553,0.01376,0,1,1,0,0,0,0,4.691347882,17.8664072,5.338539126,-0.001551715,1,1,3.218875825,0,0.75,0,1,4,1,4,0,1,1,0.836,0,0,0,1,0.954,-2.273046703,0,0,1
Equatorial Guinea,EQG,411,0.007276,0.008927,0,1,1,0,0,0,0,3.931825633,14.25033535,7.912016178,-0.030988492,1,1,3.912023005,1,0.35,0,1,2,1,3,0,0,0,0.102,0,0,0,1,-0.826,-1.732888344,0,0,0
Gabon,GAB,481,0.007097,0.01027,0,0,1,0,0,0,0,4.077537444,14.66859144,5.718391382,0.003385138,0,1,2.302585093,0,0.77,0,1,4,2,4,0,1,1,0.915,0,0,0,1,0.6,-2.111124274,0,1,0
Sierra Leone,SIE,451,0.007066,0.01137,0,1,1,0,0,0,0,4.060443011,15.87248548,8.860022573,0.024045179,1,1,2.833213344,0,0.82,0,0,4,1,4,0,1,1,0.928,0,0,0,0,0.443,-1.983200145,0,0,1
Madagascar,MAG,580,0.00699,0.01011,0,0,1,0,0,0,0,4.077537444,17.08309297,6.180614856,0.036075714,1,1,1.609437912,0,0.88,0,1,4,1,4,0,1,1,0.611,0,0,0,1,0.374,-2.052354869,0,0,1
Brazil,BRA,140,0.006929,0.01147,0,0,0,0,0,0,0,5.267858159,19.15120667,3.577708764,0.002531949,0,1,3.526360525,0,0.54,0,1,4,1,4,0,1,1,0.817,0,0,0,0,0.214,-3.068611543,0,0,1
United Arab Emirates,UAE,696,0.006887,0.01344,0,0,0,0,0,1,0,3.871201011,16.09617808,2.549509757,0.005055978,0,1,3.871201011,1,0.63,0,1,1,1,3,0,0,0,0.376,0,0,0,1,-0.474,-1.173007904,0,0,0
Bahrain,BAH,692,0.006812,0.01663,0,0,0,0,0,1,0,3.871201011,14.40471009,2.469817807,0.007972236,0,1,1.945910149,1,0.5,0,0,2,0,1,1,0,0,0.027,1,0,1,1,-1.624,-1.191270536,0,0,0
The Gambia,GAM,420,0.006641,0.007879,0,0,1,0,0,0,0,3.988984047,14.73423037,6.244997998,0.047714889,1,1,0.693147181,0,0.79,0,0,4,1,4,0,1,1,0.786,0,1,0,1,1.326,-2.269670142,1,1,0
Comoros,COM,581,0.006552,0.005914,0,0,1,0,0,0,0,3.784189634,13.88580234,7.162401832,0.0163975,0,1,0,0,0,0,1,4,1,2,0,1,1,0.567,0,0,0,0,1.351,-2.250276294,0,1,0
Papua New Guinea,PNG,910,0.006416,0.009164,0,1,0,1,0,0,0,3.784189634,15.9867154,6.164414003,-0.003154826,0,1,3.784189634,0,0.27,0,1,4,1,4,0,1,0,0.692,0,1,0,0,-0.348,-0.648296614,0,1,0
Democratic Republic of Vietnam,VIE,816,0.006325,0.008961,0,1,0,1,0,0,0,3.761200116,18.36760672,4.062019202,0.051636107,0,1,4.17438727,1,0.24,0,1,0,2,2,0,1,1,0.373,0,0,0,1,-0.195,-1.010353702,0,0,0
Mexico,MEX,70,0.006191,0.008269,0,0,0,0,0,0,0,5.288267031,18.64521496,3.31662479,0.009756613,1,1,3.091042453,0,0.54,0,1,4,1,4,0,1,1,0.909,0,0,0,0,0.06,-1.946666943,0,0,1
Ghana,GHA,452,0.006095,0.008387,0,0,1,0,0,0,0,4.127134385,17.20724309,5.907622195,0.04494153,1,1,2.890371758,0,0.67,0,1,4,2,4,0,1,1,0.857,0,0,0,0,1.042,-1.841600562,0,0,1
Zambia,ZAM,551,0.0058,0.00764,0,0,1,0,0,0,0,4.007333185,16.67351018,6.356099433,0.024596905,1,1,2.890371758,0,0.78,0,1,4,1,4,0,1,1,0.65,0,0,0,0,0.437,-2.01271904,0,0,1
Ecuador,ECU,130,0.00563,0.006261,0,0,0,0,0,0,0,5.241747015,16.65819945,3.492849839,0.004670994,1,1,2.944438979,0,0.66,0,1,4,1,4,0,1,1,0.959,0,1,0,0,0.826,-2.56545262,0,1,0
Liberia,LBR,450,0.005624,0.009487,0,1,1,0,0,0,0,5.147494477,15.42883897,7.314369419,0.003397069,0,1,2.564949357,0,0.91,0,1,4,1,4,0,1,1,0.806,0,0,0,0,1.197,-1.495096125,0,0,1
Kyrgyzstan,KYR,703,0.005555,0.007392,0,0,0,0,0,0,1,3.33220451,15.68751278,4.110960958,0.0221665,1,1,2.079441542,0,0.68,0,1,4,1,2,0,1,1,0.819,0,0,0,1,0.888,-1.692357514,0,0,1
Peru,PER,135,0.005418,0.008321,0,1,0,0,0,0,0,4.941642423,17.27865731,3.33166625,0.026093553,1,1,2.890371758,0,0.66,0,1,4,1,4,0,1,1,0.871,0,0,0,1,1.167,-2.493432413,0,0,1
Fiji,FJI,950,0.005373,0.005999,0,0,0,1,0,0,0,3.891820298,13.9319318,4.647580015,0.034528643,0,1,1.609437912,0,0.55,0,1,4,1,3,0,1,1,0.715,0,0,0,1,0.834,-1.118675467,0,1,0
Sri Lanka,SRI,780,0.005194,0.007382,0,1,0,0,0,0,1,3.850147602,16.89289191,2.529822128,0.019769325,1,1,0,0,0.42,0,1,4,1,4,0,1,1,0.845,0,1,0,1,0.299,-2.407509116,0,0,1
Senegal,SEN,433,0.005161,0.006343,0,0,1,0,0,0,0,4.077537444,16.58460503,5.639148872,0.049085428,1,1,2.944438979,0,0.69,0,1,4,1,3,0,1,1,0.862,0,0,0,0,0.842,-2.307481711,0,0,1
Guatemala,GUA,90,0.005059,0.006026,0,1,0,0,0,0,0,5.192956851,16.66758378,4.701063709,0.019240797,1,1,3.135494216,1,0.51,0,1,4,0,4,0,1,1,0.736,0,0,0,1,-0.161,-2.566925027,0,0,1
Argentina,ARG,160,0.004833,0.006287,0,1,0,0,0,0,0,5.313205979,17.60642918,2.966479395,-0.027402312,1,1,3.583518938,0,0.26,0,1,4,1,4,0,1,1,0.948,0,0,0,0,1.258,-3.006448244,0,0,1
Malaysia,MAL,820,0.004551,0.005557,0,0,0,1,0,0,0,4.127134385,17.26426572,2.588435821,0.03225099,0,1,2.397895273,1,0.59,0,1,4,1,3,0,1,1,0.699,0,0,0,1,1.989,-1.395945839,0,0,1
Dominican Republic,DOM,42,0.004545,0.005733,0,1,0,0,0,0,0,5.036952602,16.19222146,4.909175083,0.050605553,1,1,3.135494216,0,0.43,0,1,4,1,4,0,1,1,0.936,0,0,0,0,0.345,-2.363995705,0,0,1
Malawi,MAW,553,0.004148,0.005934,0,1,1,0,0,0,0,4.007333185,16.7174917,5.941380311,0.0221665,1,1,3.218875825,0,0.67,0,0,4,1,4,0,1,1,0.779,0,1,0,1,0.772,-2.192473833,0,0,1
Tunisia,TUN,616,0.004076,0.005607,0,0,0,0,0,1,0,4.143134726,16.27493301,3.820994635,0.013969023,1,1,1.609437912,0,0.04,0,1,4,2,3,0,1,1,0.767,0,0,0,0,1.116,-1.737196666,0,0,1
United States of America,USA,2,0.004055,0.006049,0,0,0,0,0,0,0,5.463831805,19.59667011,2.366431913,0.016867161,0,1,5.347107531,0,0.49,0,1,4,1,4,0,1,1,0.957,0,1,0,0,0.441,-3.156355576,0,0,1
Benin,BEN,434,0.004005,0.004595,0,0,1,0,0,0,0,4.077537444,16.26812654,7.778174593,0.049841236,1,1,3.33220451,0,0.79,0,1,4,1,4,0,1,1,0.961,0,1,0,0,0.988,-1.957005112,0,0,1
Canada,CAN,20,0.003869,0.004872,0,0,0,0,0,0,0,5.023880521,17.42469742,2.073644135,0.008803548,1,1,4.875197323,0,0.71,0,1,4,1,4,0,1,1,0.916,0,0,0,1,1.453,-2.16774636,0,0,1
Bosnia and Herzegovina,BOS,346,0.003665,0.004841,0,1,0,0,1,0,0,3.295836866,15.0794784,2.236067977,0.018590831,1,1,0,0,0.63,0,1,4,1,4,0,1,1,0.638,0,0,0,1,0.79,-1.72452119,0,0,0
Qatar,QAT,694,0.003633,0.005848,0,0,0,0,0,1,0,3.871201011,14.91499724,2.408318916,0.005120325,0,1,3.871201011,1,0.75,0,0,1,1,1,0,0,0,0.203,1,1,0,1,-1.561,-1.859708278,0,0,0
Namibia,NAM,565,0.003238,0.003347,0,0,1,0,0,0,0,3.36729583,14.79854233,5.385164807,-0.007293944,1,1,3.36729583,0,0.63,0,1,4,1,4,0,1,1,0.827,0,0,0,1,0.755,-1.901830654,0,0,1
Singapore,SIN,830,0.003236,0.002854,0,0,0,1,0,0,0,3.988984047,15.57869357,1.516575089,0.019195173,0,1,3.988984047,1,0.39,0,1,3,1,3,0,1,1,0.628,0,1,0,1,0.452,-0.398981784,0,1,0
Honduras,HON,91,0.003215,0.002974,0,0,0,0,0,0,0,5.198497031,16.09177297,3.885871846,0.024190469,1,1,3.610917913,0,0.19,0,1,4,1,4,0,1,1,0.729,0,0,0,1,-0.734,-1.681291191,0,0,1
Serbia,SRB,345,0.003152,0.003343,0,0,0,0,1,0,0,2.564949357,15.78414646,2.19089023,0.028774376,1,1,2.564949357,0,0.57,0,1,4,1,4,0,1,1,0.711,0,0,0,1,0.917,-1.597509801,0,0,1
Lebanon,LEB,660,0.003143,0.004661,0,0,0,0,0,1,0,4.33073334,15.76556614,2.529822128,-0.005030292,0,1,2.63905733,0,0.13,0,1,4,1,3,0,1,0,0.692,0,0,0,1,-0.321,-2.21582573,0,0,1
Paraguay,PAR,150,0.003109,0.002401,0,0,0,0,0,0,0,5.33753808,15.78054377,4.147288271,0.02330239,1,1,3.295836866,1,0.17,0,1,4,1,4,0,1,1,0.807,1,0,0,1,0.215,-2.101922102,0,0,1
Lesotho,LES,570,0.003061,0.002608,0,0,1,0,0,0,0,3.970291914,14.66387995,8.105553652,0.005463819,1,1,2.833213344,0,0.26,0,1,4,1,4,0,1,0,0.723,0,1,0,0,0.908,-1.49376484,1,0,1
Germany,GER,255,0.003046,0.002994,0,0,0,0,1,0,0,3.36729583,18.22642842,1.760681686,0.005068036,1,1,3.36729583,0,0.17,0,1,4,1,4,0,1,1,0.967,0,1,0,0,1.845,-1.856473148,0,0,1
Australia,AUL,900,0.002962,0.002725,0,0,0,1,0,0,0,4.770684624,17.03400812,1.760681686,0.016685522,1,1,4.770684624,0,0.09,0,1,4,1,4,0,1,1,0.931,0,0,0,0,1.033,-2.636665123,0,0,1
Guinea-Bissau,GNB,404,0.002937,0.002676,0,0,1,0,0,0,0,3.80666249,14.55952058,7.348469228,0.024638929,1,1,1.609437912,0,0.81,0,1,3,1,4,0,1,1,0.752,0,1,0,1,-0.888,-2.310243067,0,0,1
Moldova,MLD,359,0.002925,0.002943,0,0,0,0,1,0,0,3.33220451,15.13970753,3.687817783,0.026287214,1,1,3.33220451,0,0.55,0,1,4,1,4,0,1,1,0.841,0,0,0,1,-0.015,-1.862429266,0,0,1
Panama,PAN,95,0.002922,0.002791,0,0,0,0,0,0,0,4.753590191,15.29343256,3.619392214,0.023625345,1,1,3.401197382,0,0.55,0,1,4,1,4,0,1,1,0.821,0,0,0,0,-0.777,-1.881951159,0,0,1
South Korea,ROK,732,0.002885,0.003097,0,1,0,1,0,0,0,4.262679877,17.75449106,1.643167673,0.015312198,1,1,3.433987204,0,0,0,1,4,1,4,0,1,1,0.96,0,1,0,0,0.621,-1.910404542,0,0,1
